iter	Passed	Remaining
421	2092	5346
422	2096	5337
423	2100	5330
424	2106	5328
425	2110	5321
426	2115	5315
427	2120	5310
428	2124	5303
429	2129	5297
430	2133	5291
431	2138	5287
432	2143	5281
433	2146	5272
434	2151	5266
435	2156	5261
436	2161	5257
437	2176	5276
438	2179	5268
439	2183	5259
440	2188	5254
441	2193	5249
442	2219	5296
443	2235	5317
444	2240	5311
445	2246	5308
446	2250	5301
447	2257	5301
448	2273	5321
449	2276	5312
450	2281	5305
451	2285	5299
452	2289	5291
453	2292	5282
454	2296	5274
455	2300	5267
456	2305	5261
457	2309	5253
458	2313	5246
459	2316	5237
460	2320	5229
461	2324	5222
462	2329	5216
463	2332	5208
464	2337	5203
465	2341	5195
466	2346	5189
467	2350	5183
468	2354	5176
469	2358	5168
470	2362	5160
471	2366	5153
472	2370	5146
473	2374	5139
474	2378	5132
475	2383	5126
476	2387	5120
477	2391	5113
478	2395	5106
479	2399	5099
480	2403	5091
481	2407	5083
482	2410	5075
483	2414	5068
484	2418	5061
485	2422	5055
486	2427	5048
487	2430	5041
488	2446	5058
489	2450	5051
490	2455	5046
491	2459	5039
492	2464	5033
493	2469	5029
494	2474	5023
495	2478	5017
496	2483	5011
497	2486	5003
498	2491	4998
499	2496	4992
500	2500	4986
501	2504	4979
502	2509	4973
503	2513	4967
504	2517	4959
505	2520	4951
506	2524	4944
507	2528	4938
508	2532	4930
509	2536	4924
510	2540	4917
511	2545	4911
512	2549	4904
513	2553	4897
514	2557	4890
515	2561	4885
516	2565	4878
517	2569	4871
518	2573	4863
519	2578	4858
520	2582	4852
521	2592	4856
522	2597	4851
523	2601	4844
524	2604	4836
525	2608	4830
526	2612	4823
527	2617	4818
528	2622	4812
529	2626	4806
530	2630	4799
531	2634	4793
532	2637	4785
533	2642	4780
534	2647	4774
535	2651	4768
536	2655	4762
537	2660	4756
538	2664	4750
539	2668	4744
540	2672	4738
541	2677	4731
542	2680	4724
543	2684	4717
544	2705	4740
545	2709	4733
546	2713	4727
547	2718	4722
548	2722	4715
549	2726	4708
550	2730	4702
551	2733	4694
552	2754	4717
553	2758	4710
554	2763	4705
555	2767	4698
556	2772	4693
557	2775	4686
558	2779	4678
559	2782	4671
560	2787	4665
561	2791	4659
562	2795	4653
563	2800	4647
564	2818	4663
565	2822	4657
566	2826	4651
567	2829	4643
568	2834	4637
569	2838	4631
570	2842	4624
571	2846	4617
572	2849	4610
573	2853	4604
574	2857	4597
575	2861	4590
576	2866	4585
577	2870	4579
578	2875	4573
579	2879	4567
580	2882	4559
581	2886	4553
582	2891	4547
583	2894	4540
584	2899	4534
585	2916	4549
586	2921	4543
587	2925	4537
588	2929	4531
589	2934	4525
590	2937	4518
591	2941	4512
592	2945	4505
593	2949	4498
594	2953	4492
595	2957	4485
596	2961	4478
597	2964	4471
598	2967	4464
599	2972	4459
600	2976	4452
601	2980	4446
602	2984	4438
603	2987	4432
604	2991	4426
605	2995	4419
606	3000	4414
607	3004	4408
608	3008	4402
609	3012	4395
610	3016	4388
611	3019	4381
612	3024	4376
613	3029	4370
614	3044	4380
615	3047	4373
616	3052	4368
617	3056	4362
618	3061	4356
619	3064	4349
620	3068	4343
621	3073	4337
622	3093	4355
623	3096	4347
624	3101	4341
625	3104	4334
626	3108	4328
627	3112	4322
628	3117	4316
629	3122	4312
630	3126	4306
631	3130	4299
632	3134	4293
633	3138	4287
634	3144	4283
635	3149	4278
636	3154	4273
637	3159	4268
638	3163	4262
639	3167	4256
640	3171	4250
641	3175	4243
642	3180	4238
643	3183	4232
644	3188	4226
645	3191	4219
646	3195	4213
647	3199	4207
648	3204	4201
649	3208	4195
650	3212	4189
651	3215	4182
652	3219	4176
653	3223	4169
654	3227	4163
655	3231	4158
656	3236	4153
657	3254	4164
658	3258	4158
659	3262	4151
660	3265	4144
661	3270	4139
662	3274	4134
663	3278	4128
664	3282	4121
665	3286	4115
666	3290	4108
667	3293	4102
668	3297	4095
669	3300	4089
670	3304	4082
671	3308	4076
672	3312	4070
673	3316	4064
674	3319	4057
675	3323	4050
676	3327	4044
677	3330	4037
678	3334	4031
679	3338	4025
680	3342	4019
681	3346	4013
682	3350	4007
683	3354	4002
684	3358	3995
685	3363	3990
686	3367	3984
687	3370	3978
688	3374	3972
689	3378	3965
690	3397	3978
691	3402	3972
692	3405	3966
693	3409	3959
694	3412	3952
695	3416	3946
696	3430	3952
697	3433	3945
698	3437	3938
699	3441	3932
700	3445	3927
701	3448	3920
702	3452	3914
703	3456	3908
704	3459	3901
705	3463	3895
706	3467	3889
707	3472	3884
708	3475	3877
709	3479	3871
710	3483	3865
711	3487	3859
712	3491	3853
713	3495	3847
714	3499	3841
715	3503	3835
716	3507	3829
717	3511	3824
718	3515	3818
719	3518	3811
720	3521	3805
721	3526	3799
722	3530	3794
723	3534	3788
724	3538	3782
725	3541	3776
726	3545	3769
727	3549	3764
728	3553	3757
729	3556	3751
730	3560	3745
731	3564	3739
732	3568	3733
733	3571	3727
734	3575	3721
735	3578	3714
736	3582	3709
737	3586	3703
738	3590	3697
739	3594	3691
740	3598	3685
741	3602	3680
742	3607	3675
743	3611	3669
744	3615	3663
745	3618	3657
746	3622	3651
747	3626	3645
748	3630	3639
749	3633	3633
750	3638	3628
751	3642	3623
752	3655	3625
753	3658	3619
754	3662	3613
755	3665	3607
756	3669	3602
757	3673	3595
758	3676	3589
759	3680	3583
760	3684	3577
761	3688	3572
762	3691	3565
763	3695	3560
764	3701	3555
765	3704	3550
766	3709	3544
767	3712	3538
768	3716	3533
769	3721	3527
770	3725	3522
771	3730	3518
772	3735	3512
773	3739	3507
774	3743	3501
775	3747	3495
776	3750	3489
777	3754	3484
778	3757	3477
779	3768	3478
780	3771	3472
781	3775	3466
782	3780	3461
783	3783	3455
784	3787	3449
785	3791	3444
786	3795	3438
787	3800	3433
788	3803	3427
789	3808	3422
790	3812	3417
791	3817	3412
792	3821	3406
793	3824	3401
794	3828	3394
795	3833	3390
796	3836	3384
797	3840	3378
798	3844	3372
799	3849	3368
800	3853	3363
801	3862	3361
802	3866	3356
803	3871	3351
804	3876	3346
805	3879	3340
806	3884	3335
807	3888	3330
808	3892	3324
809	3896	3319
810	3900	3313
811	3904	3308
812	3908	3303
813	3912	3297
814	3916	3291
815	3920	3286
816	3924	3281
817	3928	3275
818	3932	3269
819	3937	3265
820	3941	3259
821	3947	3256
822	3952	3251
823	3957	3246
824	3962	3242
825	3966	3236
826	3971	3231
827	3975	3226
828	3993	3232
829	4007	3235
830	4012	3230
831	4021	3228
832	4024	3222
833	4028	3217
834	4032	3211
835	4037	3206
836	4041	3201
837	4045	3195
838	4050	3191
839	4055	3186
840	4060	3181
841	4064	3176
842	4069	3171
843	4073	3166
844	4089	3169
845	4093	3164
846	4097	3159
847	4101	3153
848	4105	3148
849	4109	3142
850	4122	3143
851	4126	3138
852	4130	3133
853	4134	3127
854	4139	3122
855	4154	3125
856	4159	3120
857	4163	3115
858	4166	3109
859	4171	3104
860	4185	3106
861	4189	3100
862	4193	3094
863	4197	3089
864	4201	3084
865	4205	3079
866	4210	3073
867	4214	3068
868	4218	3063
869	4222	3057
870	4226	3052
871	4231	3047
872	4235	3041
873	4240	3037
874	4244	3031
875	4249	3026
876	4253	3021
877	4257	3016
878	4261	3010
879	4267	3006
880	4272	3001
881	4276	2996
882	4280	2991
883	4284	2985
884	4288	2979
885	4292	2974
886	4296	2969
887	4300	2963
888	4304	2958
889	4307	2952
890	4312	2947
891	4315	2941
892	4320	2936
893	4324	2931
894	4329	2926
895	4334	2921
896	4338	2916
897	4343	2911
898	4348	2907
899	4352	2901
900	4356	2896
901	4360	2891
902	4366	2886
903	4370	2881
904	4375	2876
905	4379	2871
906	4384	2866
907	4388	2861
908	4392	2855
909	4396	2850
910	4401	2845
911	4404	2840
912	4410	2835
913	4415	2830
914	4419	2825
915	4423	2820
916	4427	2814
917	4431	2809
918	4438	2806
919	4457	2810
920	4462	2805
921	4465	2799
922	4469	2794
923	4473	2788
924	4478	2783
925	4482	2778
926	4486	2773
927	4491	2768
928	4494	2762
929	4498	2757
930	4502	2751
931	4506	2746
932	4510	2741
933	4514	2735
934	4518	2730
935	4522	2725
936	4527	2720
937	4531	2715
938	4535	2709
939	4540	2704
940	4543	2699
941	4547	2693
942	4551	2688
943	4556	2683
944	4560	2678
945	4565	2673
946	4568	2667
947	4572	2662
948	4577	2657
949	4580	2651
950	4585	2646
951	4590	2642
952	4594	2637
953	4598	2632
954	4603	2627
955	4607	2621
956	4612	2616
957	4616	2611
958	4620	2606
959	4624	2601
960	4628	2595
961	4631	2590
962	4636	2585
963	4641	2580
964	4644	2575
965	4649	2570
966	4653	2565
967	4657	2559
968	4661	2554
969	4666	2549
