iter	Logloss
0	0.6759561108
1	0.6564951251
2	0.6386082557
3	0.6200188668
4	0.6007763032
5	0.5857796208
6	0.5761879952
7	0.5632492188
8	0.5526255331
9	0.5413781443
10	0.5325953576
11	0.5253226988
12	0.5175391166
13	0.5109714693
14	0.5003606427
15	0.4934019581
16	0.4900066007
17	0.4826783826
18	0.4759916798
19	0.466998531
20	0.4629619352
21	0.4577923436
22	0.4509182284
23	0.4446193326
24	0.4414849127
25	0.4363933686
26	0.4325600286
27	0.4275259818
28	0.422902138
29	0.4191851462
30	0.4133597343
31	0.4091150222
32	0.4061862576
33	0.4037148568
34	0.4004001925
35	0.3984712478
36	0.39644832
37	0.3936981078
38	0.3913310266
39	0.3877647769
40	0.3857594767
41	0.3820126134
42	0.378939967
43	0.3775474794
44	0.3742406907
45	0.372151221
46	0.3699877031
47	0.367701069
48	0.3655914184
49	0.3633385935
50	0.360584259
51	0.3588410654
52	0.3565901479
53	0.3554332487
54	0.3534876916
55	0.3521782967
56	0.3493501294
57	0.3464290557
58	0.3442143779
59	0.3429355621
60	0.3415066811
61	0.3398500258
62	0.3380730537
63	0.3366882878
64	0.3349712433
65	0.3337802272
66	0.3320010093
67	0.3299815578
68	0.3279274356
69	0.3258231071
70	0.3246738065
71	0.3222489203
72	0.320537721
73	0.3192610587
74	0.3178912132
75	0.3160248418
76	0.3148006931
77	0.3137663564
78	0.3126778449
79	0.3102458831
80	0.3086150385
81	0.3074392503
82	0.3057105157
83	0.3034749493
84	0.3023700099
85	0.3011702876
86	0.2984781881
87	0.2977923732
88	0.2969871952
89	0.2961633744
90	0.2949483318
91	0.2939646321
92	0.2928723366
93	0.2921934435
94	0.2914544998
95	0.2907440432
96	0.289996947
97	0.2893028567
98	0.2879123995
99	0.2866602252
100	0.2852434958
101	0.2846938718
102	0.2841356031
103	0.2833920756
104	0.2823786582
105	0.2814628232
106	0.2803217673
107	0.2787555572
108	0.278377656
109	0.2771161602
110	0.2760991743
111	0.2752131185
112	0.2737410453
113	0.2729094721
114	0.2721209372
115	0.2706284062
116	0.269701404
117	0.2689986998
118	0.2684584587
119	0.2678169743
120	0.2667875905
121	0.2655888834
122	0.2642956088
123	0.2634023851
124	0.262994274
125	0.2620500749
126	0.2616230442
127	0.260837155
128	0.2600832293
129	0.2593471158
130	0.2586112176
131	0.2577821978
132	0.2570945678
133	0.2563564854
134	0.2560080867
135	0.2550236487
136	0.254129779
137	0.2536215321
138	0.2527060201
139	0.2519465723
140	0.2506894142
141	0.249769057
142	0.2490920405
143	0.2483654022
144	0.2472720146
145	0.2457831444
146	0.2452210149
147	0.2444907465
148	0.2433475679
149	0.242861717
150	0.2419464665
151	0.2409579062
152	0.2403405405
153	0.2396304223
154	0.2387548416
155	0.237399978
156	0.2366110279
157	0.2359677438
158	0.2347327817
159	0.2344385732
160	0.2336553143
161	0.2328833611
162	0.2319164276
163	0.2313216579
164	0.2308577722
165	0.2299607492
166	0.2293121276
167	0.2286850406
168	0.2283951852
169	0.2272304719
170	0.2264177876
171	0.2251501852
172	0.2244113799
173	0.2236815576
174	0.2229208792
175	0.2224863729
176	0.2218053572
177	0.2209715536
178	0.2204647987
179	0.2196111371
180	0.2186284373
181	0.2177034655
182	0.217404627
183	0.2162303002
184	0.2156249938
185	0.2149928924
186	0.2143377489
187	0.2137470245
188	0.2131750507
189	0.2122283443
190	0.2113329057
191	0.2107197239
192	0.2100207113
193	0.2095288307
194	0.2089321075
195	0.2080116887
196	0.2074536047
197	0.2066598708
198	0.2059032994
199	0.2049731285
